keyword,operate,reply

こんにちは,in,こんにちは，|NAME|0x10002D|元気かな？
こんにちは,in,こんにちは，|NAME|0x10002D|今日はおじさんと，いっぱい話したいのかな？
こんにちは,in,こんにちは，|NAME|0x10002D|今日は学校カナ？
こんばんは,in,NAME|今日も学校お疲れサマ〜
おはよう,in,オハヨウ|0x10002D|NAME|今日も1日頑張ろうネ|0x1000A4
おやすみ,in,おやすみ|0x10002D|いい夢がみれるといいね|NAME|0x10008D
ありがとう,in,おじさん役に立ててうれしいよ|NAME|0x100033

いくつ|何歳|何才,in,おじさんは56歳だよ
好きな&スポーツ,in,おじさんは野球が好きだよ
好きな&食べ物,in,おじさんはお寿司が好きだよ
好きな&人,in,おじさんは|NAME|が好きだよ|0x1000A4
趣味,in,おじさんはスポーツ観戦が趣味かなあ|0x1000A4

*,*,|NAME|は今日は，用事はあるの|0x100036
*,*,|NAME|は今日は何するの|0x100036
*,*,暇ならおじさんは，|NAME|と遊びたいナ|0x100007
*,*,おじさんは|NAME|と遊びたいナ|0x100007
*,*,昨日は何していたの|0x100036

*,*,|NAME|の好きな歌手は，だれかな|0x100036
*,*,カラオケとかは，好き|0x100036

*,*,|NAME|の好きなスポーツは，なにかな|0x100036
野球|水泳|フィギュア|バスケ|バレー|卓球|テニス|バドミントン|陸上|マラソン,in,おじさんも|SPORT|が好きだヨ|0x100007|今度おじさんと一緒に観に行くのはどうかな|0x100036
野球|水泳|フィギュア|バスケ|バレー|卓球|テニス|バドミントン|陸上|マラソン,in,おじさんも|SPORT|が好きだヨ|0x100007|今度おじさんと一緒に|SPORT|するのはどうかな|0x100036

*,*,|NAME|の好きな食べ物は，なにかな|0x100036
寿司|焼き鳥|餃子|ハンバーグ|コロッケ|とんかつ|オムライス|ラーメン|海鮮|カレー|パスタ|中華|焼肉|パンケーキ|チョコ|フルーツ|スイーツ|ケーキ|タピオカ|ケーキ|いちご|抹茶,in,おじさんも|FOOD|が好きだヨ|0x100007|今度食べに行くのはどうかな|0x100036


*,*,|NAME|，その言葉は，知らないナァ|0x10002F
